Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C16, C18, C25, C26, C3, C30, C38, C46, C7, C8",0603,13,100n,
"C11, C15, C28, C5",0603,4,1u,
"C12, C21, C22, C23, C24, C33, C34, C35, C36, C41, C42, C43, C44, C49, C50, C51, C52, C53",0603,18,10n,
C14,CP_Elec_6.3x5.4,1,68u,
"C17, C29, C37, C45",0603,4,220p,
"C19, C31, C39, C47",0603,4,22n,
"C2, C4",0603,2,4.7u,
"C20, C32, C40, C48",0603,4,470n,
C27,CP_Elec_4x4.5,1,22u,
C6,0603,1,10u,
C9,CP_Elec_6.3x7.7,1,100u,
"D1, D2, D3, D4",0603,4,150060SS75000,
D10,D_SMA,1,0.1/1A,
D11,D_SOD-123,1,6V,
"D16, D17, D18, D19",SODFL3718X140N,4,SKL34,
D5,D_SMA,1,SMAJ24CA-13-F,
D6,D_SOD-123,1,SS26FL,
D8,D_SMA,1,SS34ALH,
D9,SOT-23,1,PESD2CAN.215,
F1,1206,1,5V/0.5A,
FB2,0603,1,60R@100MHz,
"IC1, IC2, IC3, IC4",SOP65P600X115-25N,4,BTS722204ESAXUMA1,
J1,74650073R,1,74650073R,
J4,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_01x06,
"J5, J8",SAMTEC_UMPT-08-01-L-RA-WT-P-TR,2,UMPT-08-01-L-RA-WT-P-TR,
J6,FTSH-107-XX-YYY-DV-K-A,1,FTSH-107-01-L-DV-K-A,
J7,USB_C_Receptacle_JAE_DX07S024WJ3R400,1,USB_C_Receptacle_USB2.0_14P,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Bridged,
L1,0603,1,300n,
L2,L_6.3x6.3_H3,1,47u,
"R1, R2, R3, R4",0603,4,150,
"R10, R11, R12, R28, R29, R30, R31, R42, R43, R44, R45, R56, R57, R58, R59, R9",0603,16,10k,
"R13, R32, R46, R60",0603,4,1.2k,
"R14, R33, R47, R61",0603,4,47,
"R15, R16, R17, R18, R34, R35, R36, R37, R48, R49, R50, R51, R62, R63, R64, R65",0603,16,330,
R19,0603,1,100k,
R20,0603,1,0,
R21,0603,1,120,
"R22, R23",0603,2,5.1k,
"R24, R25, R27, R38, R39, R41, R5, R52, R53, R55, R6, R8",0603,12,4.7k,
"R26, R40, R54, R7",0603,4,470,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32G0C1KCTxN,
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM2675M-5.0/NOPB,
U4,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2542FDxMF,
