Designator,Mid X,Mid Y,Rotation,Layer
C1,23.4,26.55,90.0,top
C10,24.8,57.125,90.0,top
C11,25.525,36.35,0.0,top
C12,32.24099,52.10901,0.0,top
C13,25.525,34.75,0.0,top
C14,18.275,53.25,0.0,top
C15,26.5,57.125,90.0,top
C16,23.15,57.15,90.0,top
C17,36.3375,-23.85,180.0,top
C18,37.569941,-9.35,180.0,top
C19,41.032441,-9.35,0.0,top
C2,25.05,26.55,90.0,top
C20,39.319941,-11.8125,270.0,top
C21,57.25,-8.8,180.0,bottom
C22,57.25,-10.8,180.0,bottom
C23,57.25,-12.8,180.0,bottom
C24,57.25,-14.8,180.0,bottom
C25,6.7875,16.7,90.0,top
C26,9.3,20.7875,90.0,top
C27,9.55,30.75,0.0,top
C28,9.45,27.15,180.0,top
C29,32.7,-7.4375,90.0,top
C3,20.4,11.3925,270.0,top
C30,37.569941,7.975,180.0,top
C31,41.032441,7.975,0.0,top
C32,39.319941,5.5125,270.0,top
C33,57.25,-0.8,180.0,bottom
C34,57.25,-2.8,180.0,bottom
C35,57.25,-4.8,180.0,bottom
C36,57.25,-6.8,180.0,bottom
C37,32.7,9.7375,90.0,top
C38,37.569941,25.175,180.0,top
C39,41.032441,25.175,0.0,top
C4,22.15,11.3925,270.0,top
C40,39.319941,22.7125,270.0,top
C41,57.45,28.3,180.0,bottom
C42,57.45,26.3,180.0,bottom
C43,57.45,24.3,180.0,bottom
C44,57.45,22.3,180.0,bottom
C45,32.75,26.75,90.0,top
C46,37.619941,42.175,180.0,top
C47,41.082441,42.175,0.0,top
C48,39.369941,39.7125,270.0,top
C49,57.45,36.3,180.0,bottom
C5,44.90349,46.20901,90.0,top
C50,57.45,34.3,180.0,bottom
C51,57.45,32.3,180.0,bottom
C52,57.45,30.3,180.0,bottom
C53,11.4125,35.25,180.0,top
C6,46.70349,46.18401,90.0,top
C7,41.31599,46.23401,90.0,top
C8,43.11599,46.23401,90.0,top
C9,42.31599,55.80901,270.0,top
D1,18.0,-22.3875,90.0,top
D10,15.4,40.7,90.0,top
D11,15.15,29.0,270.0,top
D12,9.5,34.38,90.0,bottom
D16,42.85,-22.2,90.0,top
D17,38.275,-7.15,180.0,top
D18,38.25,10.15,180.0,top
D19,38.275,27.25,180.0,top
D2,20.65,-22.3375,90.0,top
D3,23.25,-22.3375,90.0,top
D4,25.9,-22.325,90.0,top
D5,48.6,55.80901,270.0,top
D6,38.21599,49.10901,270.0,top
D8,52.7,47.2,0.0,top
D9,10.0375,6.15,270.0,top
F1,16.65,34.2,180.0,top
FB2,10.85,20.85,270.0,top
IC1,44.994941,-14.825,0.0,top
IC2,44.994941,2.5,0.0,top
IC3,44.994941,19.7,0.0,top
IC4,45.044941,36.7,0.0,top
J1,56.465,55.235,0.0,top
J4,9.2125,-5.965,0.0,top
J5,59.9,29.25,90.0,top
J6,22.3675,-2.385,90.0,top
J7,9.45,42.85,270.0,top
J8,59.9,-7.75,90.0,top
JP1,9.0125,10.5,270.0,top
L1,43.9875,48.60901,180.0,top
L2,32.26599,56.90901,180.0,top
R1,23.25,-18.1575,270.0,top
R10,34.319941,-21.325,90.0,top
R11,35.919941,-21.325,90.0,top
R12,37.519941,-21.325,90.0,top
R13,39.119941,-21.3125,270.0,top
R14,36.807441,-10.95,0.0,top
R15,33.407441,-13.95,0.0,top
R16,36.807441,-14.95,0.0,top
R17,33.407441,-15.95,0.0,top
R18,36.807441,-16.95,0.0,top
R19,24.0,11.3925,90.0,top
R2,20.64,-18.1575,270.0,top
R20,18.65,11.2625,90.0,top
R21,8.0,13.5,0.0,top
R22,10.5,50.5,180.0,top
R23,7.8375,35.25,180.0,top
R24,34.3,-7.45,90.0,top
R25,33.407441,-0.625,0.0,top
R26,36.807441,4.575,0.0,top
R27,40.719941,-3.9875,90.0,top
R28,32.719941,-4.0,90.0,top
R29,34.319941,-4.0,90.0,top
R3,18.0,-18.175,270.0,top
R30,35.919941,-4.0,90.0,top
R31,37.519941,-4.0,90.0,top
R32,39.119941,-3.9875,270.0,top
R33,36.807441,6.375,0.0,top
R34,33.407441,3.375,0.0,top
R35,36.807441,2.375,0.0,top
R36,33.407441,1.375,0.0,top
R37,36.807441,0.375,0.0,top
R38,34.3,9.7375,90.0,top
R39,33.407441,16.575,0.0,top
R4,25.9,-18.145,270.0,top
R40,36.807441,21.775,0.0,top
R41,40.719941,13.2125,90.0,top
R42,32.719941,13.2,90.0,top
